Step     0, Loss:  2.48, Accuracy:   3.12%, Time usage:  0m  3s .
Step  2500, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 25s .
Step  2600, Loss:  0.06, Accuracy:  97.66%, Time usage:  1m 27s .
Step  2700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 29s .
Step  2800, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 32s .
Step  2900, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 38s .
Step  3000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 40s .
Step  3100, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 43s .
Step  3200, Loss:  0.04, Accuracy:  98.44%, Time usage:  1m 46s .
Step  3300, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 52s .
Step  3400, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 55s .
Step  3500, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 58s .
Step  3600, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  0s .
Step  3700, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  2s .
Step  3800, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  8s .
Step  3900, Loss:  0.04, Accuracy:  99.22%, Time usage:  2m 11s .
Step  4000, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 13s .
Step  4100, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 16s .
Step  4200, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 18s .
Step  4300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 24s .
Step  4400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 26s .
Step  4500, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 29s .
Step  4600, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 31s .
Step  4700, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 37s .
Step  4800, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 39s .
Step  4900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 42s .
Step  5000, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 45s .
Step  5100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 47s .
Step  5200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 53s .
Step  5300, Loss:  0.03, Accuracy:  98.44%, Time usage:  2m 55s .
Step  5400, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 58s .
Step  5500, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  1s .
Step  5600, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m  3s .
Step  5700, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m  9s .
Step  5800, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 11s .
Step  5900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 14s .
Step  6000, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 16s .
Step  6100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 22s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 25s .
