Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  2s .
Step  8200, Loss:  0.11, Accuracy:  95.31%, Time usage:  8m 41s .
Step  8300, Loss:  0.17, Accuracy:  92.19%, Time usage:  8m 47s .
Step  8400, Loss:  0.21, Accuracy:  92.97%, Time usage:  8m 53s .
Step  8500, Loss:  0.25, Accuracy:  92.19%, Time usage:  9m  1s .
Step  8600, Loss:  0.21, Accuracy:  89.06%, Time usage:  9m  7s .
Step  8700, Loss:  0.15, Accuracy:  92.97%, Time usage:  9m 13s .
Step  8800, Loss:  0.18, Accuracy:  94.53%, Time usage:  9m 18s .
Step  8900, Loss:  0.26, Accuracy:  89.84%, Time usage:  9m 24s .
Step  9000, Loss:  0.10, Accuracy:  94.53%, Time usage:  9m 33s .
Step  9100, Loss:  0.18, Accuracy:  90.62%, Time usage:  9m 39s .
Step  9200, Loss:  0.11, Accuracy:  96.09%, Time usage:  9m 44s .
Step  9300, Loss:  0.19, Accuracy:  93.75%, Time usage:  9m 50s .
Step  9400, Loss:  0.21, Accuracy:  93.75%, Time usage:  9m 59s .
Step  9500, Loss:  0.08, Accuracy:  96.88%, Time usage: 10m  5s .
Step  9600, Loss:  0.21, Accuracy:  91.41%, Time usage: 10m 10s .
Step  9700, Loss:  0.19, Accuracy:  90.62%, Time usage: 10m 16s .
Step  9800, Loss:  0.14, Accuracy:  93.75%, Time usage: 10m 22s .
Step  9900, Loss:  0.23, Accuracy:  91.41%, Time usage: 10m 31s .
Step 10000, Loss:  0.12, Accuracy:  95.31%, Time usage: 10m 36s .
Step 10100, Loss:  0.17, Accuracy:  92.19%, Time usage: 10m 42s .
Step 10200, Loss:  0.19, Accuracy:  92.97%, Time usage: 10m 48s .
Step 10300, Loss:  0.09, Accuracy:  97.66%, Time usage: 10m 53s .
Step 10400, Loss:  0.11, Accuracy:  94.53%, Time usage: 11m  2s .
Step 10500, Loss:  0.19, Accuracy:  92.97%, Time usage: 11m  8s .
Step 10600, Loss:  0.13, Accuracy:  94.53%, Time usage: 11m 14s .
Step 10700, Loss:  0.10, Accuracy:  96.09%, Time usage: 11m 20s .
Step 10800, Loss:  0.13, Accuracy:  96.88%, Time usage: 11m 29s .
Step 10900, Loss:  0.13, Accuracy:  94.53%, Time usage: 11m 35s .
Step 11000, Loss:  0.06, Accuracy:  98.44%, Time usage: 11m 40s .
Step 11100, Loss:  0.08, Accuracy:  97.66%, Time usage: 11m 46s .
