Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  3s .
Step  3000, Loss:  0.24, Accuracy:  91.41%, Time usage:  3m 15s .
Step  3100, Loss:  0.25, Accuracy:  92.19%, Time usage:  3m 21s .
Step  3200, Loss:  0.39, Accuracy:  86.72%, Time usage:  3m 27s .
Step  3300, Loss:  0.23, Accuracy:  90.62%, Time usage:  3m 35s .
Step  3400, Loss:  0.22, Accuracy:  92.97%, Time usage:  3m 41s .
Step  3500, Loss:  0.19, Accuracy:  94.53%, Time usage:  3m 46s .
Step  3600, Loss:  0.30, Accuracy:  90.62%, Time usage:  3m 52s .
Step  3700, Loss:  0.37, Accuracy:  85.16%, Time usage:  3m 58s .
Step  3800, Loss:  0.33, Accuracy:  86.72%, Time usage:  4m  7s .
Step  3900, Loss:  0.37, Accuracy:  87.50%, Time usage:  4m 12s .
Step  4000, Loss:  0.28, Accuracy:  91.41%, Time usage:  4m 18s .
Step  4100, Loss:  0.27, Accuracy:  89.06%, Time usage:  4m 24s .
Step  4200, Loss:  0.33, Accuracy:  82.81%, Time usage:  4m 29s .
Step  4300, Loss:  0.36, Accuracy:  88.28%, Time usage:  4m 38s .
Step  4400, Loss:  0.34, Accuracy:  87.50%, Time usage:  4m 44s .
Step  4500, Loss:  0.32, Accuracy:  85.94%, Time usage:  4m 50s .
Step  4600, Loss:  0.25, Accuracy:  90.62%, Time usage:  4m 55s .
Step  4700, Loss:  0.18, Accuracy:  94.53%, Time usage:  5m  4s .
Step  4800, Loss:  0.25, Accuracy:  89.84%, Time usage:  5m  9s .
Step  4900, Loss:  0.31, Accuracy:  88.28%, Time usage:  5m 15s .
Step  5000, Loss:  0.28, Accuracy:  89.06%, Time usage:  5m 21s .
Step  5100, Loss:  0.23, Accuracy:  91.41%, Time usage:  5m 27s .
Step  5200, Loss:  0.34, Accuracy:  85.94%, Time usage:  5m 36s .
Step  5300, Loss:  0.20, Accuracy:  92.19%, Time usage:  5m 41s .
Step  5400, Loss:  0.23, Accuracy:  89.84%, Time usage:  5m 47s .
Step  5500, Loss:  0.36, Accuracy:  85.16%, Time usage:  5m 53s .
Step  5600, Loss:  0.25, Accuracy:  89.06%, Time usage:  5m 58s .
Step  5700, Loss:  0.27, Accuracy:  89.84%, Time usage:  6m  7s .
Step  5800, Loss:  0.31, Accuracy:  88.28%, Time usage:  6m 12s .
Step  5900, Loss:  0.20, Accuracy:  92.97%, Time usage:  6m 18s .
Step  6000, Loss:  0.12, Accuracy:  97.66%, Time usage:  6m 24s .
Step  6100, Loss:  0.20, Accuracy:  92.19%, Time usage:  6m 34s .
Step  6200, Loss:  0.16, Accuracy:  94.53%, Time usage:  6m 39s .
Step  6300, Loss:  0.24, Accuracy:  89.84%, Time usage:  6m 45s .
Step  6400, Loss:  0.17, Accuracy:  92.97%, Time usage:  6m 51s .
Step  6500, Loss:  0.16, Accuracy:  96.09%, Time usage:  6m 56s .
Step  6600, Loss:  0.17, Accuracy:  92.97%, Time usage:  7m  5s .
Step  6700, Loss:  0.18, Accuracy:  92.19%, Time usage:  7m 10s .
Step  6800, Loss:  0.20, Accuracy:  92.97%, Time usage:  7m 16s .
Step  6900, Loss:  0.28, Accuracy:  93.75%, Time usage:  7m 21s .
Step  7000, Loss:  0.21, Accuracy:  90.62%, Time usage:  7m 27s .
Step  7100, Loss:  0.21, Accuracy:  90.62%, Time usage:  7m 36s .
Step  7200, Loss:  0.33, Accuracy:  89.06%, Time usage:  7m 41s .
Step  7300, Loss:  0.19, Accuracy:  90.62%, Time usage:  7m 47s .
Step  7400, Loss:  0.26, Accuracy:  88.28%, Time usage:  7m 52s .
Step  7500, Loss:  0.24, Accuracy:  92.19%, Time usage:  7m 58s .
Step  7600, Loss:  0.26, Accuracy:  90.62%, Time usage:  8m  6s .
Step  7700, Loss:  0.22, Accuracy:  87.50%, Time usage:  8m 12s .
Step  7800, Loss:  0.18, Accuracy:  92.97%, Time usage:  8m 18s .
Step  7900, Loss:  0.15, Accuracy:  94.53%, Time usage:  8m 23s .
Step  8000, Loss:  0.23, Accuracy:  92.97%, Time usage:  8m 32s .
Step  8100, Loss:  0.33, Accuracy:  87.50%, Time usage:  8m 38s .
Step  8200, Loss:  0.23, Accuracy:  89.84%, Time usage:  8m 43s .
Step  8300, Loss:  0.16, Accuracy:  94.53%, Time usage:  8m 49s .
Step  8400, Loss:  0.28, Accuracy:  89.84%, Time usage:  8m 54s .
Step  8500, Loss:  0.24, Accuracy:  89.06%, Time usage:  9m  3s .
Step  8600, Loss:  0.24, Accuracy:  92.19%, Time usage:  9m  9s .
Step  8700, Loss:  0.17, Accuracy:  92.19%, Time usage:  9m 14s .
