Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  2s .
Step  8000, Loss:  0.02, Accuracy:  99.22%, Time usage:  8m 30s .
Step  8100, Loss:  0.02, Accuracy:  99.22%, Time usage:  8m 36s .
Step  8200, Loss:  0.01, Accuracy:  99.22%, Time usage:  8m 42s .
Step  8300, Loss:  0.03, Accuracy:  99.22%, Time usage:  8m 48s .
Step  8400, Loss:  0.03, Accuracy:  99.22%, Time usage:  8m 54s .
Step  8500, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m  3s .
Step  8600, Loss:  0.03, Accuracy:  99.22%, Time usage:  9m  9s .
Step  8700, Loss:  0.04, Accuracy:  99.22%, Time usage:  9m 15s .
Step  8800, Loss:  0.05, Accuracy:  98.44%, Time usage:  9m 21s .
Step  8900, Loss:  0.14, Accuracy:  97.66%, Time usage:  9m 27s .
Step  9000, Loss:  0.01, Accuracy: 100.00%, Time usage:  9m 36s .
Step  9100, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 41s .
Step  9200, Loss:  0.04, Accuracy:  99.22%, Time usage:  9m 47s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 53s .
Step  9400, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m  2s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m  8s .
Step  9600, Loss:  0.01, Accuracy: 100.00%, Time usage: 10m 14s .
Step  9700, Loss:  0.06, Accuracy:  98.44%, Time usage: 10m 20s .
Step  9800, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 25s .
Step  9900, Loss:  0.03, Accuracy:  99.22%, Time usage: 10m 35s .
Step 10000, Loss:  0.05, Accuracy:  97.66%, Time usage: 10m 40s .
Step 10100, Loss:  0.02, Accuracy:  99.22%, Time usage: 10m 46s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 52s .
Step 10300, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 58s .
Step 10400, Loss:  0.01, Accuracy:  99.22%, Time usage: 11m  7s .
Step 10500, Loss:  0.01, Accuracy: 100.00%, Time usage: 11m 13s .
Step 10600, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 19s .
Step 10700, Loss:  0.01, Accuracy:  99.22%, Time usage: 11m 25s .
Step 10800, Loss:  0.01, Accuracy: 100.00%, Time usage: 11m 34s .
Step 10900, Loss:  0.01, Accuracy: 100.00%, Time usage: 11m 40s .
Step 11000, Loss:  0.03, Accuracy:  99.22%, Time usage: 11m 46s .
Step 11100, Loss:  0.01, Accuracy:  99.22%, Time usage: 11m 52s .
Step 11200, Loss:  0.02, Accuracy:  99.22%, Time usage: 11m 57s .
Step 11300, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m  7s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 12s .
Step 11500, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 18s .
Step 11600, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 24s .
Step 11700, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 30s .
Step 11800, Loss:  0.02, Accuracy:  99.22%, Time usage: 12m 39s .
Step 11900, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 45s .
