Step     0, Loss:  2.43, Accuracy:   8.59%, Time usage:  0m  3s .
Step  8000, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 53s .
Step  8100, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 55s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 56s .
Step  8300, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 57s .
Step  8400, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 58s .
Step  8500, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  4s .
Step  8600, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  5s .
Step  8700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  6s .
Step  8800, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  8s .
Step  8900, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  9s .
Step  9000, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 14s .
Step  9100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 15s .
Step  9200, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 16s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 17s .
Step  9400, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 21s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 22s .
Step  9600, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 23s .
Step  9700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 24s .
Step  9800, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 25s .
Step  9900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 29s .
Step 10000, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 30s .
Step 10100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 31s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 32s .
Step 10300, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 33s .
Step 10400, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 37s .
Step 10500, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 38s .
Step 10600, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 39s .
Step 10700, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 40s .
Step 10800, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 45s .
Step 10900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 46s .
Step 11000, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 47s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 48s .
Step 11200, Loss:  0.04, Accuracy:  99.22%, Time usage:  3m 49s .
Step 11300, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 53s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 54s .
Step 11500, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 55s .
Step 11600, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 56s .
Step 11700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 57s .
Step 11800, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  1s .
Step 11900, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m  2s .
Step 12000, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  3s .
Step 12100, Loss:  0.01, Accuracy:  99.22%, Time usage:  4m  4s .
Step 12200, Loss:  0.05, Accuracy:  99.22%, Time usage:  4m  9s .
Step 12300, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 10s .
Step 12400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 11s .
Step 12500, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m 12s .
Step 12600, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 13s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 17s .
Step 12800, Loss:  0.01, Accuracy:  99.22%, Time usage:  4m 18s .
Step 12900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 19s .
Step 13000, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 20s .
Step 13100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 21s .
Step 13200, Loss:  0.06, Accuracy:  97.66%, Time usage:  4m 25s .
Step 13300, Loss:  0.03, Accuracy:  99.22%, Time usage:  4m 26s .
Step 13400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 27s .
Step 13500, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 28s .
Step 13600, Loss:  0.04, Accuracy:  74.22%, Time usage:  4m 29s .
Step 13700, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 34s .
Step 13800, Loss:  0.03, Accuracy:  99.22%, Time usage:  4m 34s .
Step 13900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 36s .
Step 14000, Loss:  0.03, Accuracy:  99.22%, Time usage:  4m 36s .
 Time usage of train:  4m 36s .
Step     0, Loss:  0.03, Accuracy:  99.22%, Time usage:  0m  2s .
Test Loss:  0.04, Accuracy: 99.09%
test correctL:9909, len of test:10000
Time Usage:  0.08 mins.
The accuracy of plane: 0.9959183673469387
The accuracy of car: 0.9947136563876652
The accuracy of bird: 0.9922480620155039
The accuracy of cat: 0.994059405940594
The accuracy of deer: 0.9887983706720977
The accuracy of dog: 0.9865470852017937
The accuracy of frog: 0.9853862212943633
The accuracy of horse: 0.9912451361867705
The accuracy of ship: 0.9938398357289527
The accuracy of truck: 0.9851337958374629
