Step     0, Loss:  2.36, Accuracy:  13.28%, Time usage:  0m  2s .
Step  8000, Loss:  0.06, Accuracy:  98.44%, Time usage: 10m  2s .
Step  8100, Loss:  0.14, Accuracy:  96.09%, Time usage: 10m  9s .
Step  8200, Loss:  0.10, Accuracy:  95.31%, Time usage: 10m 16s .
Step  8300, Loss:  0.08, Accuracy:  97.66%, Time usage: 10m 22s .
Step  8400, Loss:  0.10, Accuracy:  96.09%, Time usage: 10m 29s .
Step  8500, Loss:  0.06, Accuracy:  97.66%, Time usage: 10m 40s .
Step  8600, Loss:  0.07, Accuracy:  97.66%, Time usage: 10m 48s .
Step  8700, Loss:  0.03, Accuracy:  98.44%, Time usage: 10m 55s .
Step  8800, Loss:  0.10, Accuracy:  96.09%, Time usage: 11m  3s .
Step  8900, Loss:  0.13, Accuracy:  97.66%, Time usage: 11m 11s .
Step  9000, Loss:  0.07, Accuracy:  97.66%, Time usage: 11m 21s .
Step  9100, Loss:  0.07, Accuracy:  98.44%, Time usage: 11m 28s .
Step  9200, Loss:  0.17, Accuracy:  95.31%, Time usage: 11m 35s .
Step  9300, Loss:  0.08, Accuracy:  96.88%, Time usage: 11m 43s .
Step  9400, Loss:  0.04, Accuracy:  97.66%, Time usage: 11m 53s .
Step  9500, Loss:  0.15, Accuracy:  93.75%, Time usage: 12m  0s .
Step  9600, Loss:  0.04, Accuracy:  98.44%, Time usage: 12m  7s .
Step  9700, Loss:  0.04, Accuracy:  99.22%, Time usage: 12m 14s .
Step  9800, Loss:  0.10, Accuracy:  96.09%, Time usage: 12m 20s .
Step  9900, Loss:  0.11, Accuracy:  96.09%, Time usage: 12m 31s .
Step 10000, Loss:  0.13, Accuracy:  96.88%, Time usage: 12m 37s .
Step 10100, Loss:  0.08, Accuracy:  96.88%, Time usage: 12m 44s .
Step 10200, Loss:  0.05, Accuracy:  98.44%, Time usage: 12m 51s .
Step 10300, Loss:  0.14, Accuracy:  96.09%, Time usage: 12m 58s .
