Step     0, Loss:  2.31, Accuracy:  14.06%, Time usage:  0m  2s .
Step  4400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  0s .
Step  4500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  1s .
Step  4600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  1s .
Step  4700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  5s .
Step  4800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  6s .
Step  4900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  6s .
Step  5000, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m  7s .
Step  5100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m  8s .
Step  5200, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 12s .
Step  5300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 12s .
Step  5400, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 13s .
Step  5500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 13s .
Step  5600, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 14s .
Step  5700, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 18s .
Step  5800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 19s .
Step  5900, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 20s .
Step  6000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 20s .
Step  6100, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 25s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 25s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 26s .
Step  6400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 26s .
Step  6500, Loss:  0.03, Accuracy:  99.22%, Time usage:  1m 27s .
Step  6600, Loss:  0.02, Accuracy:  98.44%, Time usage:  1m 31s .
Step  6700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 32s .
Step  6800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 32s .
Step  6900, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 33s .
Step  7000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 34s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 38s .
Step  7200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 38s .
Step  7300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 39s .
Step  7400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 39s .
Step  7500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 40s .
