Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  8s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 13s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 18s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 22s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 26s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  9s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 13s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 18s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 22s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 27s .
Epoch:     0 processes:    0 Step     0, Loss:  0.03, Accuracy:  98.44%, Time usage:  3m 37s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 41s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 45s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 50s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 54s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 37s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 42s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 46s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 50s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 54s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  4s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  9s .
Epoch:   200 processes:    0 Step   200, Loss:  0.04, Accuracy:  99.22%, Time usage:  4m 13s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 17s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 21s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  5s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  9s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 13s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage:  4m 18s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 22s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 32s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 36s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 40s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 45s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 50s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 32s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 37s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 41s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 46s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 51s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  2s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  8s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 13s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 18s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 22s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  3s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m  8s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 13s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 18s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 23s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 34s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 38s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 43s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 49s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 54s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 34s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 39s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 44s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 50s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  5m 54s .
Epoch:     0 processes:    0 Step     0, Loss:  0.01, Accuracy:  99.22%, Time usage:  6m  5s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m  9s .
Epoch:   200 processes:    0 Step   200, Loss:  0.02, Accuracy:  99.22%, Time usage:  6m 14s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 18s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage:  6m 23s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m  5s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 10s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 14s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 19s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 24s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 34s .
