Step     0, Loss:  2.46, Accuracy:  10.16%, Time usage:  0m  3s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 14s .
Step  6400, Loss:  0.05, Accuracy:  98.44%, Time usage:  2m 16s .
Step  6500, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 17s .
Step  6600, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 22s .
Step  6700, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 24s .
Step  6800, Loss:  0.05, Accuracy:  98.44%, Time usage:  2m 25s .
Step  6900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 26s .
Step  7000, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 27s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 33s .
Step  7200, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 34s .
Step  7300, Loss:  0.03, Accuracy:  99.22%, Time usage:  2m 35s .
Step  7400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 36s .
Step  7500, Loss:  0.02, Accuracy: 100.00%, Time usage:  2m 37s .
Step  7600, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 43s .
Step  7700, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m 44s .
Step  7800, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 45s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 46s .
Step  8000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 52s .
Step  8100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 53s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 54s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 55s .
Step  8400, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 57s .
Step  8500, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m  2s .
Step  8600, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  3s .
Step  8700, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  4s .
Step  8800, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  5s .
Step  8900, Loss:  0.06, Accuracy:  98.44%, Time usage:  3m  7s .
Step  9000, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 12s .
Step  9100, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 13s .
Step  9200, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 15s .
Step  9300, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 16s .
Step  9400, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 21s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 23s .
Step  9600, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 24s .
Step  9700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 25s .
Step  9800, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 26s .
Step  9900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 32s .
Step 10000, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 33s .
Step 10100, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 34s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 35s .
Step 10300, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 36s .
Step 10400, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 42s .
Step 10500, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 43s .
Step 10600, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 44s .
Step 10700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 45s .
Step 10800, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 52s .
Step 10900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 53s .
Step 11000, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 55s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 56s .
Step 11200, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 58s .
Step 11300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  4s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  5s .
Step 11500, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  6s .
Step 11600, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  7s .
Step 11700, Loss:  0.02, Accuracy:  98.44%, Time usage:  4m  9s .
Step 11800, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 14s .
Step 11900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 15s .
Step 12000, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 16s .
Step 12100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 18s .
Step 12200, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 23s .
Step 12300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 24s .
Step 12400, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 26s .
Step 12500, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 27s .
