Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 45s .
Epoch:   100 processes:    0 Step   100, Loss:  0.02, Accuracy:  98.44%, Time usage:  8m  3s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  8m 21s .
Epoch:   300 processes:    0 Step   300, Loss:  0.06, Accuracy:  97.66%, Time usage:  8m 38s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  8m 54s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 49s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m  6s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage:  8m 24s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage:  8m 40s .
Epoch:   400 processes:    1 Step   400, Loss:  0.12, Accuracy:  99.22%, Time usage:  8m 57s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 14s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy:  99.22%, Time usage:  9m 36s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 54s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage: 10m 12s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 29s .
Epoch:     0 processes:    1 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  9m 19s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy:  99.22%, Time usage:  9m 38s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  9m 57s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage: 10m 15s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 32s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 52s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage: 11m 13s .
Epoch:   200 processes:    0 Step   200, Loss:  0.02, Accuracy: 100.00%, Time usage: 11m 30s .
Epoch:   300 processes:    0 Step   300, Loss:  0.02, Accuracy: 100.00%, Time usage: 11m 50s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 10s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 10m 57s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 15s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 33s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 53s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 13s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 33s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 54s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 13s .
Epoch:   300 processes:    0 Step   300, Loss:  0.03, Accuracy:  99.22%, Time usage: 13m 31s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 48s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 38s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 57s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 15s .
Epoch:   300 processes:    1 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage: 13m 34s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 51s .
