Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 23m 20s .
Epoch:   100 processes:    0 Step   100, Loss:  0.03, Accuracy:  99.22%, Time usage: 24m  9s .
Epoch:   200 processes:    0 Step   200, Loss:  0.08, Accuracy:  97.66%, Time usage: 24m 58s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 25m 45s .
Epoch:   400 processes:    0 Step   400, Loss:  0.05, Accuracy:  99.22%, Time usage: 26m 33s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 23m 24s .
Epoch:   100 processes:    1 Step   100, Loss:  0.09, Accuracy:  97.66%, Time usage: 24m 13s .
Epoch:   200 processes:    1 Step   200, Loss:  0.11, Accuracy:  98.44%, Time usage: 25m  1s .
Epoch:   300 processes:    1 Step   300, Loss:  0.05, Accuracy:  97.66%, Time usage: 25m 48s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 26m 36s .
Epoch:     0 processes:    0 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage: 27m 14s .
Epoch:   100 processes:    0 Step   100, Loss:  0.02, Accuracy:  99.22%, Time usage: 28m  3s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 28m 51s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 29m 41s .
Epoch:   400 processes:    0 Step   400, Loss:  0.02, Accuracy:  99.22%, Time usage: 30m 29s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 27m 18s .
Epoch:   100 processes:    1 Step   100, Loss:  0.01, Accuracy:  99.22%, Time usage: 28m  6s .
Epoch:   200 processes:    1 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage: 28m 54s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage: 29m 45s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage: 30m 33s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 31m 10s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 32m  0s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage: 32m 47s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 33m 36s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage: 34m 23s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 31m 14s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 32m  3s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 32m 50s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 33m 39s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 34m 26s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 35m  4s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy:  99.22%, Time usage: 35m 59s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 36m 58s .
Epoch:   300 processes:    0 Step   300, Loss:  0.03, Accuracy:  98.44%, Time usage: 37m 49s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage: 38m 41s .
Epoch:     0 processes:    1 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage: 35m  8s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 36m  2s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 37m  0s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 37m 52s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 38m 44s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 39m 25s .
Epoch:   100 processes:    0 Step   100, Loss:  0.01, Accuracy: 100.00%, Time usage: 40m 17s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 41m 11s .
Epoch:   300 processes:    0 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage: 42m  5s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage: 42m 58s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 39m 28s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 40m 21s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 41m 15s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy:  99.22%, Time usage: 42m  9s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 43m  1s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 43m 43s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 44m 44s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage: 45m 38s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 46m 29s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 47m 24s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 43m 47s .
Epoch:   100 processes:    1 Step   100, Loss:  0.02, Accuracy:  98.44%, Time usage: 44m 47s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 45m 41s .
