Step     0, Loss:  2.44, Accuracy:   7.81%, Time usage:  0m  3s .
Step  8000, Loss:  0.02, Accuracy:  99.22%, Time usage: 11m 41s .
Step  8100, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 49s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage: 11m 57s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m  5s .
Step  8400, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 13s .
Step  8500, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 25s .
Step  8600, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 32s .
Step  8700, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 40s .
Step  8800, Loss:  0.03, Accuracy:  98.44%, Time usage: 12m 48s .
Step  8900, Loss:  0.01, Accuracy: 100.00%, Time usage: 12m 58s .
Step  9000, Loss:  0.01, Accuracy: 100.00%, Time usage: 13m 12s .
Step  9100, Loss:  0.03, Accuracy:  99.22%, Time usage: 13m 23s .
Step  9200, Loss:  0.07, Accuracy:  98.44%, Time usage: 13m 33s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 44s .
Step  9400, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m  0s .
Step  9500, Loss:  0.02, Accuracy:  99.22%, Time usage: 14m 12s .
Step  9600, Loss:  0.03, Accuracy:  99.22%, Time usage: 14m 22s .
Step  9700, Loss:  0.04, Accuracy:  98.44%, Time usage: 14m 31s .
Step  9800, Loss:  0.04, Accuracy:  99.22%, Time usage: 14m 38s .
Step  9900, Loss:  0.01, Accuracy: 100.00%, Time usage: 14m 49s .
Step 10000, Loss:  0.01, Accuracy:  99.22%, Time usage: 14m 56s .
Step 10100, Loss:  0.03, Accuracy:  99.22%, Time usage: 15m  5s .
Step 10200, Loss:  0.05, Accuracy:  98.44%, Time usage: 15m 15s .
Step 10300, Loss:  0.01, Accuracy:  99.22%, Time usage: 15m 22s .
Step 10400, Loss:  0.01, Accuracy: 100.00%, Time usage: 15m 33s .
Step 10500, Loss:  0.01, Accuracy: 100.00%, Time usage: 15m 41s .
Step 10600, Loss:  0.00, Accuracy: 100.00%, Time usage: 15m 49s .
Step 10700, Loss:  0.01, Accuracy: 100.00%, Time usage: 15m 57s .
Step 10800, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 12s .
Step 10900, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 21s .
Step 11000, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 32s .
Step 11100, Loss:  0.01, Accuracy:  99.22%, Time usage: 16m 43s .
